search_name,full_name,region_id
서울특별시 강동구 천호동,서울특별시 강동구 천호동,6044
서울특별시 송파구 마천동,서울특별시 송파구 마천동,6183
서울특별시 송파구 잠실동,서울특별시 송파구 잠실동,6188
서울특별시 강남구 압구정동,서울특별시 강남구 압구정동,385
서울특별시 서초구 신원동,서울특별시 서초구 신원동,6129
서울특별시 서초구 반포동,서울특별시 서초구 반포동,6126
서울특별시 관악구 난곡동,서울특별시 관악구 난곡동,361
서울특별시 영등포구 양평동,서울특별시 영등포구 양평동,6211
서울특별시 구로구 항동,서울특별시 구로구 항동,6069
서울특별시 강서구 오쇠동,서울특별시 강서구 오쇠동,6055
서울특별시 강서구 가양동,서울특별시 강서구 가양동,6047
서울특별시 마포구 신공덕동,서울특별시 마포구 신공덕동,6103
서울특별시 서대문구 홍은동,서울특별시 서대문구 홍은동,6124
서울특별시 노원구 중계동,서울특별시 노원구 중계동,6075
서울특별시 강북구 수유동,서울특별시 강북구 수유동,6046
서울특별시 성북구 보문동3가,서울특별시 성북구 보문동3가,6161
서울특별시 중랑구 신내동,서울특별시 중랑구 신내동,6410
서울특별시 광진구 중곡동,서울특별시 광진구 중곡동,6061
경기도 양평군 개군면,경기도 양평군 개군면,1872
경기도 양평군 용문면,경기도 양평군 용문면,1871
경기도 양평군 신점리,경기도 양평군 신점리,1871
경기도 양평군 옥현리,경기도 양평군 옥현리,1870
경기도 양평군 일신리,경기도 양평군 일신리,1870
경기도 양평군 월산리,경기도 양평군 월산리,1870
경기도 양평군 단석리,경기도 양평군 단석리,1869
경기도 양평군 계정리,경기도 양평군 계정리,1869
경기도 양평군 청운면,경기도 양평군 청운면,1868
경기도 양평군 신론리,경기도 양평군 신론리,1868
경기도 양평군 산음리,경기도 양평군 산음리,1867
경기도 양평군 향소리,경기도 양평군 향소리,1867
경기도 양평군 서종면,경기도 양평군 서종면,1866
경기도 양평군 수입리,경기도 양평군 수입리,1866
경기도 양평군 명달리,경기도 양평군 명달리,1866
경기도 양평군 서후리,경기도 양평군 서후리,1866
경기도 양평군 옥천면,경기도 양평군 옥천면,1865
경기도 양평군 용천리,경기도 양평군 용천리,1865
경기도 양평군 양서면,경기도 양평군 양서면,1864
경기도 양평군 국수리,경기도 양평군 국수리,1864
경기도 양평군 성덕리,경기도 양평군 성덕리,1863
경기도 양평군 강상면,경기도 양평군 강상면,1862
경기도 양평군 대석리,경기도 양평군 대석리,1862
경기도 양평군 대흥리,경기도 양평군 대흥리,1861
경기도 가평군 북면,경기도 가평군 북면,1859
경기도 가평군 백둔리,경기도 가평군 백둔리,1859
경기도 가평군 적목리,경기도 가평군 적목리,1859
경기도 가평군 화악리,경기도 가평군 화악리,1859
경기도 가평군 조종면,경기도 가평군 조종면,3992
경기도 가평군 운악리,경기도 가평군 운악리,3992
경기도 가평군 봉수리,경기도 가평군 봉수리,1857
경기도 가평군 상동리,경기도 가평군 상동리,1857
경기도 가평군 덕현리,경기도 가평군 덕현리,1857
경기도 가평군 대성리,경기도 가평군 대성리,1856
경기도 가평군 상천리,경기도 가평군 상천리,1856
경기도 가평군 설악면,경기도 가평군 설악면,1855
경기도 가평군 묵안리,경기도 가평군 묵안리,1855
경기도 가평군 경반리,경기도 가평군 경반리,1854
경기도 연천군 장남면,경기도 연천군 장남면,1852
경기도 연천군 반정리,경기도 연천군 반정리,1852
경기도 연천군 중면,경기도 연천군 중면,1851
경기도 연천군 신서면,경기도 연천군 신서면,1850
경기도 연천군 왕징면,경기도 연천군 왕징면,1849
경기도 연천군 고잔하리,경기도 연천군 고잔하리,1849
경기도 연천군 삼화리,경기도 연천군 삼화리,1848
경기도 연천군 백학면,경기도 연천군 백학면,1847
경기도 연천군 청산면,경기도 연천군 청산면,1846
경기도 연천군 백의리,경기도 연천군 백의리,1846
경기도 연천군 전곡읍,경기도 연천군 전곡읍,1844
경기도 연천군 늘목리,경기도 연천군 늘목리,1844
경기도 연천군 연천읍,경기도 연천군 연천읍,1843
경기도 여주시 오금동,경기도 여주시 오금동,4673
경기도 여주시 매룡동,경기도 여주시 매룡동,4665
경기도 여주시 삼교동,경기도 여주시 삼교동,4667
경기도 여주시 송현리,경기도 여주시 송현리,1838
경기도 여주시 강천면,경기도 여주시 강천면,1837
경기도 여주시 운촌리,경기도 여주시 운촌리,1836
경기도 여주시 상교리,경기도 여주시 상교리,1836
경기도 여주시 대신면,경기도 여주시 대신면,1835
경기도 여주시 능서면,경기도 여주시 능서면,1834
경기도 여주시 양거리,경기도 여주시 양거리,1834
경기도 여주시 하다리,경기도 여주시 하다리,1832
경기도 여주시 현수리,경기도 여주시 현수리,1831
경기도 여주시 관한리,경기도 여주시 관한리,1831
경기도 여주시 가남읍,경기도 여주시 가남읍,1830
경기도 여주시 금당리,경기도 여주시 금당리,1830
경기도 포천시 동교동,경기도 포천시 동교동,4803
경기도 포천시 어룡동,경기도 포천시 어룡동,4806
경기도 포천시 지현리,경기도 포천시 지현리,1826
경기도 포천시 중리,경기도 포천시 중리,1825
경기도 포천시 영북면,경기도 포천시 영북면,1824
경기도 포천시 이동면,경기도 포천시 이동면,1823
경기도 포천시 도평리,경기도 포천시 도평리,1823
경기도 포천시 일동면,경기도 포천시 일동면,1822
